"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
477,685.421,715.258,698.746,-0.591,-10.171,7.795,-44308055.269,-52118551.052,-20682964.711,0.001,37617933.198,675.150,null,null,null
478,681.997,711.438,697.973,-0.519,-11.372,5.273,-31235956.063,-47639808.823,-20171777.594,-0.332,36969843.642,680.300,null,null,null
479,681.432,708.473,697.393,-0.007,-10.131,5.831,-18185452.325,-42348821.778,-19250881.438,0.767,38148211.075,687.590,null,null,null
480,683.484,706.484,697.072,1.519,-9.824,7.345,-7140990.353,-36891987.933,-18129608.815,0.456,39084222.468,687.920,612.4023680149,631.204365681,635.0707199089
481,684.963,704.716,696.772,1.499,-10.433,7.114,-4504957.646,-33305407.390,-17510044.336,-0.866,37072248.321,682.960,609.3854807683,627.0502248762,636.1236927892
482,684.295,702.644,696.319,1.157,-11.032,6.322,-5707983.177,-30906228.995,-17201978.432,0.310,37578941.153,681.720,621.383724062,632.7897919253,630.866053232
483,683.437,700.651,695.840,0.209,-10.044,6.187,-4459602.331,-28149715.818,-16702334.570,-0.068,37471053.895,667.120,621.127090851,634.1459247498,633.0922303245
484,677.998,697.458,694.899,-2.977,-10.344,1.077,-13837599.821,-28572942.388,-17223359.495,-0.893,35478213.159,652.290,610.0751331871,629.0271996955,640.3318768288
485,669.429,693.156,693.502,-5.179,-12.393,-2.448,-22071188.241,-29522030.263,-17922212.137,-0.895,33151461.795,663.030,618.4595415261,632.4082949914,632.8613334063
486,667.296,690.287,692.503,-2.918,-11.770,-0.676,-3565704.774,-23525145.271,-16238032.652,0.411,34432310.092,665.900,615.5909740065,630.529178394,634.1840059016
487,666.830,687.964,691.630,-2.321,-10.587,-1.036,-1032187.549,-20900384.112,-15573348.077,0.127,34610208.535,659.050,605.723560452,620.3332817174,635.9117150748
488,664.237,685.211,690.562,-1.210,-11.057,-2.672,-4329217.416,-19950183.449,-15420886.735,-0.825,33294673.907,652.550,602.8550652938,615.7086543215,634.4724711776
489,660.341,682.100,689.316,0.040,-12.374,-3.403,-6500842.611,-19082936.739,-15270827.924,-0.649,32211978.636,647.260,614.6395584204,623.0725472253,628.1821923244
490,655.981,678.782,687.937,-2.378,-14.326,-3.323,-7594190.844,-18197027.270,-15090829.871,-0.583,31134770.697,647.180,613.3455252405,621.6383224295,629.0201886408
491,653.047,675.772,686.601,-2.811,-6.881,-4.430,-5154487.229,-16490175.149,-14605067.580,0.314,32213595.021,668.210,604.7242416441,615.7114690228,632.6875150762
492,658.102,675.052,685.998,1.390,-1.992,-1.269,13175384.341,-10173479.660,-12492274.299,0.894,34332004.321,669.970,603.8539520055,614.8088654651,630.2006756401
493,662.058,674.568,685.472,2.670,-1.282,-1.276,10009186.680,-8854406.230,-11962140.999,-0.196,33922898.127,665.870,602.2974382788,614.4222268883,629.823374013
494,663.328,673.740,684.830,2.875,-2.128,-0.501,3785009.420,-8836209.932,-11853983.757,0.164,34269072.270,667.970,616.3919303761,618.4025252762,626.4064206685
495,664.876,673.190,684.277,3.212,-1.378,-1.370,3169073.513,-7810170.729,-11401813.742,-0.041,34231227.059,661.150,630.1123639716,626.1011847859,623.8011019089
496,663.634,672.043,683.519,-1.057,-2.451,-3.904,-2901182.371,-8498887.244,-11521154.082,-0.466,33203086.653,670.710,621.1838607417,622.367785869,629.5610468522
