"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target"
0,574.595,586.510,607.925,4.076,-7.724,19.925,-2840785.211,-6146204.480,-978337.191,-0.351,6390240.501,587.140
1,578.777,586.570,607.243,4.038,-6.031,22.211,7026269.066,-3012244.280,-68871.132,-0.674,4335099.232,590.540
2,582.698,586.948,606.696,3.274,-5.192,22.865,6675588.844,-2156389.739,129263.279,0.552,5304204.965,591.500
3,585.632,587.381,606.197,3.229,-4.162,22.958,5048463.603,-1780141.848,183851.799,-0.240,4855424.454,592.210
4,587.825,587.841,605.739,2.395,-1.837,20.822,3769187.705,-1495305.871,217516.851,0.038,4919942.546,594.620
5,590.090,588.487,605.374,1.274,-0.143,16.987,4443556.877,-801248.624,400296.470,-0.881,2802431.918,594.910
6,591.696,589.099,605.031,0.740,1.917,15.863,3121219.041,-679554.148,402796.368,-0.164,2533741.668,590.300
7,591.231,589.213,604.548,-0.203,1.157,14.399,-1250881.943,-1566747.459,61882.261,-0.685,1048720.435,591.710
8,591.391,589.451,604.127,-0.084,-0.813,15.235,-83415.895,-1203103.301,133673.538,0.277,1491347.733,590.800
9,591.194,589.579,603.690,-0.642,-0.005,12.045,-992706.757,-1356263.794,37117.406,0.280,2356864.985,595.060
10,592.483,590.101,603.407,0.025,0.650,12.189,2140946.056,-426309.940,311580.825,0.388,3123252.126,603.070
11,596.012,591.336,603.396,2.163,3.441,14.398,6451404.330,1049750.139,795539.515,0.535,4130352.746,605.490
12,599.171,592.684,603.465,2.329,1.768,14.744,5275332.280,1228172.809,865298.488,0.188,4357651.213,604.230
13,600.857,593.784,603.490,2.273,2.412,14.919,3050187.547,977860.930,791023.064,0.108,4478007.022,602.380
14,601.365,594.603,603.454,1.230,3.482,14.604,1288446.098,671870.670,691807.987,0.346,4895770.910,598.920
15,600.550,595.014,603.305,-0.688,7.776,14.659,-369042.988,257023.829,548338.179,-0.689,4161713.941,601.000
16,600.700,595.584,603.229,-0.742,6.494,11.662,461048.621,434567.449,599908.463,0.192,4357496.580,598.860
17,600.087,595.896,603.086,-0.889,4.729,12.073,-398462.606,191514.829,510813.593,-0.254,4106359.778,593.970
18,598.048,595.713,602.787,-1.396,3.660,12.068,-2778219.907,-544604.155,246926.770,-0.393,3500872.752,604.350
19,600.149,596.535,602.838,0.907,4.494,12.678,6335202.955,1846505.638,1044143.882,0.728,5222988.689,602.120
20,600.806,597.067,602.815,0.186,2.551,11.744,2866514.380,1282946.742,876438.746,-0.340,4602439.524,609.070
21,603.560,598.210,603.020,1.705,3.138,12.501,7777330.837,2836853.124,1424718.254,0.755,6513924.543,613.500
22,606.874,599.666,603.364,3.288,3.719,12.921,8224127.118,3435030.891,1676947.809,-0.177,6150428.066,616.440
23,610.062,601.264,603.792,2.000,4.091,13.959,7541996.012,3696240.692,1824514.563,0.554,7314924.987,614.210
24,611.445,602.497,604.134,2.008,3.295,2.122,3852736.051,3008428.829,1649094.942,0.654,8349680.248,616.010
25,612.967,603.784,604.523,1.139,3.547,-0.275,3433085.301,2968938.826,1680068.347,-0.298,7920734.090,616.870
26,614.268,605.030,604.928,0.549,4.501,1.487,2756763.627,2819908.489,1671020.870,-0.083,7785270.063,616.690
27,615.075,606.141,605.314,0.041,4.222,1.433,1757805.598,2528478.113,1608360.826,-0.082,7676327.023,624.180
28,618.110,607.859,605.932,1.623,5.650,1.992,7089789.305,3978504.647,2137718.069,0.975,9987314.406,639.630
29,625.283,610.884,607.037,3.834,7.490,4.424,23369850.654,8926263.571,3901398.570,0.718,12585445.746,631.750
30,627.439,612.872,607.847,2.412,4.756,2.474,6616208.689,5515088.446,2891809.264,-0.686,10245395.689,626.770
31,627.216,614.195,608.468,1.635,3.515,1.321,-4695510.987,2388037.133,1901292.556,-0.355,8298189.258,611.830
32,622.087,613.970,608.578,-1.979,1.258,-0.753,-47474038.518,-10509022.935,-2522720.104,-0.969,-330563.673,611.080
33,618.418,613.695,608.660,-4.464,1.444,-1.212,-32800608.262,-9837091.965,-2553245.601,0.750,3121139.229,619.910
34,618.915,614.287,609.029,-1.874,3.505,1.012,-11130840.001,-5832731.157,-1413509.794,0.890,6367207.743,616.500
35,618.110,614.497,609.274,-1.639,2.579,0.244,-9741344.621,-5940314.271,-1595439.107,-0.662,5016427.102,616.790
36,617.670,614.716,609.520,0.811,2.994,0.193,-6299018.471,-5318795.405,-1523928.519,0.098,5213673.460,600.990
37,612.110,613.409,609.241,-1.651,1.182,-3.094,-26498212.180,-11183348.185,-3667294.784,-0.881,1485320.515,600.360
38,608.193,612.166,608.949,-3.154,-0.660,-3.830,-18255589.277,-10286871.546,-3605099.659,0.078,1705841.624,611.040
39,609.142,612.059,609.018,-0.886,1.481,-2.246,-2395124.131,-6514235.574,-2525397.829,0.547,3208698.778,612.000
40,610.095,612.053,609.116,-0.777,0.481,-2.357,-1033307.821,-5732848.871,-2387177.415,0.313,3759419.504,610.150
41,610.113,611.872,609.150,1.524,-0.546,-2.348,-1612314.181,-5450703.922,-2399739.693,0.511,4525045.309,610.980
42,610.402,611.787,609.210,1.769,-0.886,-1.910,-645349.737,-4808867.439,-2278811.206,0.810,5781835.071,614.300
43,611.701,612.026,609.377,0.534,0.015,-0.468,1563998.989,-3781099.450,-2007942.103,0.109,5978133.219,618.380
44,613.928,612.631,609.672,1.042,0.385,2.501,3349840.712,-2761801.964,-1715172.718,0.512,6846239.516,616.500
45,614.785,613.000,609.896,1.041,-0.060,3.532,1078033.568,-2828828.512,-1772563.144,0.170,7159953.544,616.440
46,615.337,613.327,610.110,0.894,-0.041,5.605,671966.706,-2572765.513,-1719041.959,0.643,8662304.881,624.500
47,618.391,614.391,610.582,1.660,0.051,7.017,7415552.270,-337004.664,-977344.735,0.917,11039579.047,628.150
48,621.644,615.702,611.158,1.580,-1.795,5.295,7537474.247,436168.942,-690175.458,0.690,12509679.689,624.150
49,622.479,616.506,611.584,1.241,-1.203,5.640,2234830.831,-402557.243,-941987.935,-0.700,11045748.007,624.220
50,623.060,617.241,611.998,1.262,-0.407,5.582,1529249.691,-352972.038,-907231.366,-0.036,10984403.898,625.260
51,623.793,618.005,612.433,0.122,2.195,7.247,1532280.461,-172846.891,-827048.633,0.429,11618942.384,630.080
52,625.889,619.155,613.012,0.307,3.109,5.901,6191476.407,1320745.032,-291412.012,0.686,13825444.098,610.210
53,620.662,618.303,612.920,-2.233,-1.565,3.425,-19995906.715,-5697485.253,-2654666.469,-0.716,11219015.529,611.320
54,617.548,617.638,612.867,-2.067,-0.840,5.018,-12260609.617,-4849154.793,-2462382.828,0.368,12283875.279,608.820
55,614.639,616.798,612.735,-2.629,-1.292,9.557,-10434538.911,-5033273.146,-2604022.654,0.273,13023353.030,610.040
56,613.106,616.154,612.646,-3.181,1.506,8.096,-6169112.794,-4328986.233,-2441210.782,-0.793,11488022.134,613.400
57,613.204,615.892,612.671,0.523,2.172,7.272,-1554285.543,-3185714.310,-2109519.643,0.271,12107594.398,600.760
58,609.056,614.451,612.280,-1.727,-1.682,4.845,-15039519.695,-6883264.185,-3417731.720,-0.853,9271210.111,600.790
59,606.301,613.150,611.904,-1.319,-1.832,3.878,-10006077.133,-6221923.978,-3303681.238,0.036,9344337.203,609.560
