NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
0,61.924,60.710,69.789,4.306,0.321,8.038,1520858.790,1578621.949,1004619.523,-0.752,-9536954.682,61.830
1,61.892,60.817,69.528,0.162,-1.498,6.622,18251.467,1143804.318,873747.959,-0.822,-13201190.846,61.270
2,61.685,60.860,69.258,-1.732,-2.156,6.631,-679285.636,837312.493,777088.687,-0.447,-14858339.214,61.000
3,61.457,60.873,68.987,-2.897,-4.178,6.513,-873013.810,637523.669,710283.479,-0.145,-15536654.907,60.950
4,61.288,60.881,68.723,-2.480,-1.931,8.394,-636635.107,561199.729,681622.457,-0.070,-15765321.465,61.010
5,61.195,60.893,68.471,-1.326,0.362,9.849,-326882.345,535621.010,668868.382,-0.650,-18935405.915,60.660
6,61.017,60.871,68.214,-0.996,2.242,11.630,-672067.913,354853.385,602268.138,-0.624,-21362608.256,60.520
7,60.851,60.837,67.962,-0.787,2.143,11.619,-619850.335,271970.665,565622.784,-0.607,-23595671.682,63.000
8,61.567,61.043,67.799,3.363,5.652,17.253,5242391.563,1861961.588,1103368.770,0.974,-16930176.358,64.600
9,62.578,61.382,67.695,5.884,8.663,16.649,9555347.975,3416180.561,1663299.656,0.299,-13535947.474,65.180
10,63.446,61.744,67.612,7.451,8.815,22.819,7207589.004,3330074.894,1691128.227,0.773,-10189144.338,66.300
11,64.397,62.178,67.569,9.551,11.786,36.000,6883257.042,3606695.677,1840094.289,0.221,-8956272.976,66.450
12,65.081,62.585,67.532,5.476,10.492,38.438,4738676.378,3306011.808,1794501.527,-0.077,-9186793.514,66.600
13,65.588,62.967,67.502,3.096,11.876,38.953,3352113.936,3046295.355,1754648.659,0.216,-8351139.215,66.710
14,65.962,63.323,67.476,2.347,12.382,38.230,2314426.917,2778938.929,1704956.994,0.584,-7081082.592,67.110
15,66.344,63.684,67.464,1.222,11.999,40.486,1907963.011,2618567.145,1684959.558,0.333,-6168553.258,68.920
16,67.203,64.183,67.512,3.717,11.647,41.230,4586379.164,3316152.319,1955721.916,0.527,-3274135.377,69.720
17,68.042,64.710,67.584,4.685,11.820,43.309,4649537.043,3455171.412,2048185.223,0.899,2093682.371,69.640
18,68.575,65.180,67.651,4.392,10.856,42.617,3037545.042,3108351.377,1974918.857,0.471,3190382.136,68.860
19,68.670,65.530,67.691,2.608,10.176,35.365,689236.348,2430662.575,1778777.877,-0.725,-535407.635,69.070
20,68.803,65.867,67.736,0.218,11.710,34.823,1120059.619,2387904.821,1785431.263,-0.188,-2310627.675,69.130
21,68.912,66.178,67.782,-0.846,12.828,32.306,864100.892,2194026.595,1738439.531,0.523,758861.023,70.790
