Date,Open,High,Low,Close,Volume
12-Sep-13,897.40,897.90,890.01,893.06,1095465
11-Sep-13,888.54,896.97,886.08,896.19,1610677
10-Sep-13,890.02,892.00,884.00,888.67,1287836
9-Sep-13,883.73,889.75,882.42,888.05,1235064
6-Sep-13,882.44,883.78,873.74,879.58,1561755
5-Sep-13,873.50,879.88,871.61,879.56,1292601
4-Sep-13,860.35,873.50,855.17,871.63,2041640
3-Sep-13,854.36,866.19,853.95,860.38,2047736
30-Aug-13,855.76,858.04,845.56,846.90,1861554
29-Aug-13,849.07,860.38,848.59,855.43,1478494
28-Aug-13,850.25,855.41,847.77,848.55,1330324
27-Aug-13,859.62,863.73,847.90,850.15,1734031
26-Aug-13,870.00,874.90,866.05,866.39,1056184
23-Aug-13,877.83,878.00,869.75,870.21,1077093
22-Aug-13,872.70,874.75,870.25,873.71,870491
21-Aug-13,870.65,876.91,866.50,869.33,1761596
20-Aug-13,868.35,872.11,863.54,865.42,1236259
19-Aug-13,857.71,872.00,857.45,865.65,1811425
16-Aug-13,861.28,862.44,856.54,856.91,1675387
15-Aug-13,864.44,864.92,858.00,859.66,1870812
14-Aug-13,878.37,880.23,867.16,869.81,2083229
13-Aug-13,886.83,888.50,876.20,881.25,1420462
12-Aug-13,886.90,887.00,881.65,885.51,1377354
9-Aug-13,890.56,895.52,890.00,890.41,1323761
8-Aug-13,895.49,895.84,885.30,892.66,1488045
7-Aug-13,895.04,898.45,889.09,890.65,1380382
6-Aug-13,904.69,909.71,895.73,896.57,1506475
5-Aug-13,905.39,905.52,899.20,905.00,1309921
2-Aug-13,903.44,907.00,900.82,906.57,1717765
1-Aug-13,895.00,904.55,895.00,904.22,2138314
31-Jul-13,892.99,896.51,886.18,887.75,2173446
30-Jul-13,885.46,895.61,880.87,890.92,1756116
29-Jul-13,884.90,894.82,880.89,882.27,1893042
26-Jul-13,886.99,889.99,882.00,885.35,1778244
25-Jul-13,893.87,896.85,886.08,887.70,3005227
24-Jul-13,907.26,910.30,900.70,902.90,2080778
23-Jul-13,910.70,913.00,899.57,903.80,2046745
22-Jul-13,902.00,912.67,897.00,910.70,2904179
19-Jul-13,886.61,902.95,875.61,896.60,7363398
18-Jul-13,918.99,920.00,903.19,910.68,3634430
17-Jul-13,921.00,926.86,916.30,918.55,1506168
16-Jul-13,927.13,927.97,913.90,919.61,1983527
15-Jul-13,924.30,928.00,916.36,924.69,1961361
12-Jul-13,920.00,923.00,915.24,923.00,2568942
11-Jul-13,913.00,920.81,908.52,920.24,2587845
10-Jul-13,903.45,911.14,900.38,905.99,1715973
9-Jul-13,911.00,912.95,897.98,905.24,1979338
8-Jul-13,899.21,906.27,897.08,905.09,1970157
5-Jul-13,890.01,895.41,887.34,893.49,1701830
3-Jul-13,879.90,889.17,878.50,886.43,1048628
2-Jul-13,890.20,891.00,877.27,882.31,1891812
1-Jul-13,886.45,892.08,885.00,887.88,1726780
28-Jun-13,874.90,881.84,874.19,880.37,2350049
27-Jun-13,878.80,884.69,876.65,877.07,1926554
26-Jun-13,873.75,878.00,870.57,873.65,1832735
25-Jun-13,877.26,879.68,864.51,866.20,2553889
24-Jun-13,871.88,876.32,863.25,869.79,3020242
21-Jun-13,888.34,889.88,873.07,880.93,3982214
20-Jun-13,893.99,901.00,883.31,884.74,3377578
19-Jun-13,901.37,910.84,897.50,900.68,2917112
18-Jun-13,888.65,901.00,888.35,900.62,2167878
