NUM,EMA_5,EMA_10,EMA_15,ROC_5,ROC_10,ROC_15,FORCE_5,FORCE_10,FORCE_15,MFM,ACDL,TARGET
0,525.249,527.534,555.605,-0.903,3.412,8.989,1784135.354,3871392.286,60147934.555,-0.312,6770121.015,522.350
1,524.283,526.592,551.448,-0.914,1.731,8.726,-925714.890,2013790.892,51836265.813,-0.255,6274675.738,538.230
2,528.932,528.708,549.796,1.997,4.308,11.982,17948175.326,11774184.505,52318727.056,0.737,8858866.282,534.350
3,530.738,529.734,547.865,1.628,4.064,11.078,8387197.818,7681649.649,44437041.524,-0.119,8529959.080,530.010
4,530.495,529.784,545.633,0.835,0.516,8.132,2121042.078,4392028.004,37581002.659,-0.784,6648927.913,536.350
5,532.447,530.978,544.473,2.680,1.120,5.523,7465500.992,6894280.880,35152679.679,0.749,8795098.058,538.840
6,534.578,532.407,543.769,0.113,2.214,4.943,7160987.962,6832041.065,31577589.957,-0.550,7346638.044,541.390
7,536.849,534.040,543.471,1.317,2.596,4.921,7967593.274,7331816.126,28827991.699,-0.122,6888445.605,543.300
8,538.999,535.724,543.450,2.507,3.330,5.807,7260461.103,7061703.514,25955267.332,-0.624,4978389.032,540.930
9,539.643,536.671,543.135,0.854,2.913,2.587,-400566.818,2919098.755,20745531.083,-0.061,4570894.068,601.450
10,560.245,548.449,550.424,11.619,15.143,13.393,298797013.935,165514203.607,130301361.628,0.962,18834521.013,617.710
11,579.400,561.042,558.835,14.097,14.767,17.175,237730485.750,156438426.475,128463370.097,0.793,24472941.668,607.830
12,588.877,569.549,564.959,11.877,13.751,15.187,143366710.953,119747650.999,106735344.005,-0.169,23697508.594,607.980
13,595.244,576.536,570.337,12.395,14.711,15.632,95754156.102,98071541.072,93459556.804,-0.903,20513234.716,611.990
14,600.826,582.982,575.544,1.752,14.103,16.432,67744018.825,82371941.654,83242580.237,0.198,21092112.862,612.530
15,604.728,588.355,580.167,-0.839,13.676,17.264,45568866.856,67616781.884,72989578.073,0.040,21181998.317,616.500
16,608.652,593.472,584.709,1.426,13.874,14.542,34559257.571,57602828.632,65433385.689,-0.687,19012614.796,618.600
17,611.968,598.041,588.945,1.747,13.860,15.767,24799048.147,48089337.845,57914041.140,0.484,20230001.758,616.470
18,613.469,601.391,592.386,0.732,13.965,16.313,14940584.825,38477396.087,50077743.270,0.080,20408342.376,618.580
19,615.172,604.517,595.660,0.988,2.848,15.331,11498858.403,32320670.537,44394951.056,0.371,21220803.748,613.700
20,614.682,606.186,597.915,-0.454,-0.649,13.893,3955025.096,24420068.345,37454001.984,-0.764,19478529.104,615.000
21,614.788,607.789,600.051,-0.582,1.180,13.596,3974997.430,20710045.391,33274119.499,-0.198,18867382.036,615.600
22,615.058,609.209,601.994,-0.141,1.253,13.308,3049953.087,17162739.756,29264837.611,-0.624,17620290.501,620.180
23,616.766,611.204,604.267,0.259,1.338,14.651,7196768.105,16858677.644,27543032.677,0.604,19662593.081,624.270
24,619.267,613.579,606.768,1.722,1.917,3.794,9666544.593,16449117.631,25925915.789,-0.445,18073375.429,625.080
25,621.205,615.670,609.057,1.639,1.392,1.193,6921330.482,13718533.018,22864039.098,0.813,19509198.205,626.770
26,623.060,617.689,611.271,1.814,1.321,3.116,5798494.581,11870222.066,20450137.058,0.145,19813298.997,624.820
27,623.647,618.985,612.965,0.748,1.354,2.770,2409472.604,8917714.172,17347798.507,-0.166,19440639.040,622.880
28,623.391,619.693,614.204,-0.223,0.695,1.779,-10240.371,6414554.082,14573115.404,0.956,21831184.942,617.190
29,621.324,619.238,614.577,-1.262,0.569,0.761,-4297122.950,2908110.047,11142614.965,0.057,21959526.445,603.290
30,615.313,616.339,613.166,-3.746,-1.904,-2.143,-18595883.667,-6201256.343,3850612.456,-0.735,19464513.075,595.470
31,608.698,612.544,610.954,-4.697,-3.270,-3.739,-21468768.578,-10021853.081,-32531.401,-0.715,16977713.759,583.720
32,600.372,607.303,607.550,-6.287,-5.879,-5.313,-27271450.302,-15268209.566,-4888066.694,-0.963,13792779.999,583.550
33,594.765,602.985,604.550,-5.451,-6.523,-5.663,-18319370.215,-12567664.198,-4328959.612,-0.464,12660197.804,596.560
34,595.363,601.817,603.551,-1.116,-4.563,-2.793,-977147.890,-4154034.933,425572.434,0.401,13699270.666,590.830
35,593.852,599.819,601.961,-0.779,-5.734,-3.930,-5042479.907,-5793872.934,-1274267.113,-0.870,11698703.055,591.220
36,592.975,598.256,600.618,1.285,-5.378,-3.960,-3077406.841,-4585397.984,-1008391.312,0.585,12977065.427,583.010
37,589.653,595.484,598.417,-0.093,-6.401,-5.993,-7981816.184,-6986350.145,-3106171.757,-0.110,12738520.845,594.970
38,591.425,595.390,597.986,-0.267,-3.600,-4.693,4250229.704,-495318.941,871389.898,0.659,14319822.234,590.000
39,590.950,594.410,596.988,-0.140,-2.203,-5.612,661533.516,-1589962.562,-52016.197,0.003,14324206.977,582.110
40,588.004,592.174,595.128,-1.541,-2.244,-7.125,-7080654.046,-5403611.036,-2866142.819,-0.561,12718568.389,555.710
41,577.239,585.544,590.201,-4.683,-4.799,-11.061,-67353424.031,-38584584.303,-25995245.466,-0.772,7227239.933,564.350
42,572.943,581.691,586.970,-5.146,-3.290,-9.397,-34080368.767,-25666343.200,-18687622.063,-0.575,5067741.631,571.820
43,572.568,579.896,585.076,-3.081,-4.147,-7.351,-16369321.565,-17535594.829,-13970072.700,0.622,6653059.566,573.000
44,572.712,578.642,583.566,-1.565,-3.018,-5.021,-9877184.816,-13782379.646,-11835427.528,0.179,7125034.981,578.360
45,574.595,578.591,582.916,4.076,-2.175,-2.873,-2840785.211,-9234308.074,-8951997.337,-0.351,6390240.501,587.140
46,578.777,580.145,583.444,4.038,0.708,0.586,7026269.066,-2689819.766,-4487950.467,-0.674,4335099.232,590.540
47,582.698,582.035,584.331,3.274,-0.745,1.198,6675588.844,-1114538.281,-3180178.109,0.552,5304204.965,591.500
48,585.632,583.756,585.227,3.229,0.254,-0.848,5048463.603,-585674.390,-2558379.205,-0.240,4855424.454,592.210
49,587.825,585.293,586.100,2.395,1.735,0.234,3769187.705,-259072.517,-2087252.316,0.038,4919942.546,594.620
50,590.090,586.989,587.165,1.274,7.002,0.575,4443556.877,841176.162,-1102308.874,-0.881,2802431.918,594.910
51,591.696,588.429,588.133,0.740,5.415,2.041,3121219.041,774879.291,-904952.343,-0.164,2533741.668,590.300
52,591.231,588.769,588.404,-0.203,3.232,-0.785,-1250881.943,-1183295.837,-2041218.789,-0.685,1048720.435,591.710
53,591.391,589.304,588.817,-0.084,3.265,0.290,-83415.895,-558784.557,-1504626.916,0.277,1491347.733,590.800
54,591.194,589.576,589.065,-0.642,2.151,1.493,-992706.757,-968330.725,-1667959.611,0.280,2356864.985,595.060
55,592.483,590.573,589.814,0.025,1.349,7.081,2140946.056,736502.440,-408433.200,0.388,3123252.126,603.070
56,596.012,592.845,591.471,2.163,2.122,6.861,6451404.330,3343014.883,1526661.060,0.535,4130352.746,605.490
57,599.171,595.144,593.224,2.329,2.365,5.888,5275332.280,3266682.755,1701226.950,0.188,4357651.213,604.230
58,600.857,596.796,594.599,2.273,2.030,5.450,3050187.547,2418176.451,1313560.841,0.108,4478007.022,602.380
59,601.365,597.811,595.572,1.230,1.305,4.153,1288446.098,1572137.678,869986.136,0.346,4895770.910,598.920
60,600.550,598.013,595.991,-0.688,0.674,2.006,-369042.988,616472.435,300735.224,-0.689,4161713.941,601.000
61,600.700,598.556,596.617,-0.742,1.813,1.771,461048.621,890065.054,528297.301,0.192,4357496.580,598.860
62,600.087,598.611,596.897,-0.889,1.208,1.244,-398462.606,343237.760,197574.506,-0.254,4106359.778,593.970
63,598.048,597.767,596.531,-1.396,0.537,0.297,-2778219.907,-1089666.289,-769339.121,-0.393,3500872.752,604.350
64,600.149,598.964,597.509,0.907,1.561,1.636,6335202.955,3574281.887,2397084.354,0.728,5222988.689,602.120
65,600.806,599.538,598.085,0.186,-0.158,1.212,2866514.380,2184255.586,1588590.964,-0.340,4602439.524,609.070
66,603.560,601.271,599.458,1.705,0.591,3.180,7777330.837,4986929.798,3589887.562,0.755,6513924.543,613.500
67,606.874,603.495,601.213,3.288,1.534,3.683,8224127.118,5737982.504,4280866.577,-0.177,6150428.066,616.440
68,610.062,605.848,603.117,2.000,2.334,4.340,7541996.012,5817937.285,4517974.980,0.554,7314924.987,614.210
69,611.445,607.369,604.503,2.008,2.553,3.218,3852736.051,4119078.893,3512505.123,0.654,8349680.248,616.010
70,612.967,608.940,605.942,1.139,2.498,2.146,3433085.301,3841752.512,3397664.958,-0.298,7920734.090,616.870
71,614.268,610.382,607.308,0.549,3.007,1.879,2756763.627,3398546.652,3148471.873,-0.083,7785270.063,616.690
72,615.075,611.529,608.481,0.041,3.825,2.062,1757805.598,2736972.632,2724899.082,-0.082,7676327.023,624.180
73,618.110,613.829,610.443,1.623,3.281,3.619,7089789.305,5467297.011,4603506.286,0.975,9987314.406,639.630
74,625.283,618.520,614.091,3.834,6.230,6.797,23369850.654,14642329.073,11019314.669,0.718,12585445.746,631.750
75,627.439,620.925,616.299,2.412,3.724,5.116,6616208.689,7090801.016,6280515.931,-0.686,10245395.689,626.770
76,627.216,621.988,617.608,1.635,2.163,4.661,-4695510.987,834482.588,2080582.647,-0.355,8298189.258,611.830
77,622.087,620.141,616.885,-1.979,-0.748,3.007,-47474038.518,-23504713.079,-14808376.882,-0.969,-330563.673,611.080
78,618.418,618.494,616.160,-4.464,-0.510,1.114,-32800608.262,-19859083.019,-13389048.240,0.750,3121139.229,619.910
79,618.915,618.751,616.628,-1.874,0.633,2.955,-11130840.001,-10392214.012,-7689330.145,0.890,6367207.743,616.500
80,618.110,618.342,616.612,-1.639,-0.060,1.220,-9741344.621,-9768603.075,-7598458.109,-0.662,5016427.102,616.790
81,617.670,618.060,616.635,0.811,0.016,0.536,-6299018.471,-7886014.547,-6575446.617,0.098,5213673.460,600.990
82,612.110,614.956,614.679,-1.651,-3.715,-2.506,-26498212.180,-18615211.830,-14115590.740,-0.881,1485320.515,600.360
83,608.193,612.302,612.889,-3.154,-6.139,-2.255,-18255589.277,-15552508.491,-12572434.831,0.078,1705841.624,611.040
84,609.142,612.073,612.658,-0.886,-3.278,-0.807,-2395124.131,-7392814.918,-7335154.707,0.547,3208698.778,612.000
85,610.095,612.060,612.576,-0.777,-2.357,-0.789,-1033307.821,-5741334.970,-6206969.769,0.313,3759419.504,610.150
86,610.113,611.712,612.273,1.524,-0.275,-1.061,-1612314.181,-5201151.684,-5777389.410,0.511,4525045.309,610.980
87,610.402,611.579,612.111,1.769,-0.016,-2.115,-645349.737,-4021200.623,-4894143.340,0.810,5781835.071,614.300
88,611.701,612.074,612.385,0.534,-0.905,-3.960,1563998.989,-2202310.248,-3534538.368,0.109,5978133.219,618.380
89,613.928,613.220,613.134,1.042,0.305,-2.116,3349840.712,-543431.265,-2227530.552,0.512,6846239.516,616.500
90,614.785,613.817,613.555,1.041,-0.047,-1.639,1078033.568,-1074731.166,-2382286.823,0.170,7159953.544,616.440
91,615.337,614.294,613.915,0.894,2.571,0.753,671966.706,-904810.412,-2102021.847,0.643,8662304.881,624.500
92,618.391,616.149,615.239,1.660,4.021,2.196,7415552.270,3060195.736,773571.309,0.917,11039579.047,628.150
93,621.644,618.331,616.852,1.580,2.800,1.329,7537474.247,3918581.638,1649539.670,0.690,12509679.689,624.150
94,622.479,619.389,617.765,1.241,1.985,1.241,2234830.831,1684211.159,397040.211,-0.700,11045748.007,624.220
95,623.060,620.268,618.572,1.262,2.306,1.205,1529249.691,1399461.386,362171.111,-0.036,10984403.898,625.260
96,623.793,621.175,619.408,0.122,2.337,4.038,1532280.461,1424712.407,509192.472,0.429,11618942.384,630.080
97,625.889,622.794,620.742,0.307,2.569,4.950,6191476.407,3985649.842,2384276.951,0.686,13825444.098,610.210
98,620.662,620.506,619.425,-2.233,-1.321,-0.136,-19995906.715,-9897317.940,-6960091.788,-0.716,11219015.529,611.320
99,617.548,618.836,618.412,-2.067,-0.840,-0.111,-12260609.617,-7514172.027,-5688832.242,0.368,12283875.279,608.820
100,614.639,617.015,617.213,-2.629,-1.236,-0.218,-10434538.911,-7381122.113,-5825527.899,0.273,13023353.030,610.040
101,613.106,615.747,616.316,-3.181,-2.315,-0.154,-6169112.794,-5609692.740,-4802119.482,-0.793,11488022.134,613.400
102,613.204,615.320,615.952,0.523,-2.348,-0.147,-1554285.543,-3194226.976,-3242433.427,0.271,12107594.398,600.760
103,609.056,612.673,614.053,-1.727,-3.747,-2.849,-15039519.695,-10251638.072,-8088377.748,-0.853,9271210.111,600.790
104,606.301,610.512,612.395,-1.319,-3.753,-2.548,-10006077.133,-8376647.879,-7069729.531,0.036,9344337.203,609.560
105,607.387,610.339,612.041,-0.079,-2.511,-1.116,-972162.106,-3745317.728,-4049054.846,0.405,10134283.436,600.620
106,605.131,608.572,610.613,-2.083,-4.676,-3.824,-9622503.230,-7959475.501,-6908321.175,-0.904,7410861.627,591.660
107,600.641,605.497,608.244,-1.515,-3.040,-5.809,-16754059.647,-12151784.043,-9921927.588,-0.442,5882221.180,592.310
108,597.864,603.099,606.252,-1.411,-3.110,-5.101,-10673689.381,-9671995.826,-8495805.246,-0.458,4835374.810,591.770
109,595.833,601.040,604.442,-2.918,-2.800,-5.198,-7502971.301,-8124639.337,-7579021.483,0.374,5640768.700,580.300
110,590.655,597.269,601.424,-3.383,-4.875,-7.191,-16958350.924,-13169088.580,-11115282.569,-0.763,3255016.375,576.710
111,586.007,593.531,598.335,-2.527,-5.981,-8.470,-14930750.479,-12752081.491,-11085315.946,0.013,3295892.851,569.990
112,580.668,589.251,594.792,-3.768,-5.122,-6.591,-16257124.213,-13871679.707,-12063385.413,-0.616,1561479.631,569.560
113,576.965,585.671,591.638,-3.753,-5.198,-6.831,-11412330.752,-11662782.275,-10770805.215,0.814,4823449.193,557.100
114,570.343,580.476,587.321,-3.998,-8.606,-8.495,-23393844.341,-18152616.683,-15344063.503,-0.371,3412812.162,561.360
115,567.349,577.000,584.076,-2.662,-6.537,-7.980,-11478283.888,-12606170.555,-11881950.938,-0.806,1075207.181,561.060
116,565.253,574.102,581.199,-1.567,-5.172,-8.533,-7982474.258,-10494295.000,-10520563.946,-0.680,-1170730.819,576.500
117,569.002,574.538,580.611,1.218,-2.669,-4.038,10232472.681,-102174.716,-3372697.632,0.388,1132.569,577.320
118,571.775,575.044,580.200,3.630,-2.442,-3.907,7337479.021,197764.632,-2757673.966,0.432,815542.763,582.160
119,575.236,576.338,580.445,3.705,0.321,-4.495,7821730.600,1760031.746,-1314185.500,0.944,2530905.316,586.890
120,579.121,578.256,581.251,4.604,1.765,-2.286,8522299.047,3244287.054,90517.180,0.687,3972581.543,579.740
121,579.327,578.526,581.062,0.562,1.711,-2.015,-1133601.819,-1062929.419,-2476472.911,-0.870,1485900.319,575.360
122,578.005,577.950,580.349,-0.339,1.018,-2.862,-3995343.146,-2636728.761,-3381767.022,-0.874,-452408.222,581.730
123,579.247,578.638,580.522,-0.074,4.421,-1.697,744680.923,-298281.885,-1680955.012,0.964,1094886.967,581.840
124,580.111,579.220,580.686,-0.860,3.648,0.265,548611.365,-215599.315,-1451276.604,-0.488,400996.723,586.760
125,582.327,580.591,581.446,1.211,4.581,1.743,3697212.310,1640766.779,-20565.254,0.564,1546419.418,591.800
126,585.485,582.629,582.740,2.857,2.654,3.826,6855095.087,3737147.481,1628362.983,-0.054,1404173.213,587.680
127,586.217,583.547,583.357,1.023,1.794,3.181,1748114.711,1518421.386,366586.855,-0.213,966377.151,569.090
128,580.508,580.919,581.574,-2.191,-2.245,2.152,-36313188.969,-19200527.289,-13733711.043,-0.569,-2472788.006,574.180
129,578.398,579.693,580.650,-2.144,-2.166,2.284,-19681432.763,-13240053.300,-10319237.206,0.726,-534854.766,580.000
130,578.932,579.749,580.569,-1.994,0.045,3.376,-8208923.675,-8153480.973,-7187320.743,0.802,1494650.777,578.160
