NUM,EMA_5,EMA_10,EMA_15,ROC_5,ROC_10,ROC_15,FORCE_5,FORCE_10,FORCE_15,MFM,ACDL,TARGET
0,49.366,49.480,52.234,-9.064,-13.108,-16.577,-18863601.899,-23921241.606,7625285.077,0.362,-52732082.763,47.770
1,48.834,49.169,51.676,-2.010,-12.091,-17.624,-13723696.309,-20198085.883,6241638.801,-0.169,-53921493.640,48.800
2,48.823,49.102,51.317,1.667,-9.996,-15.071,-5760061.446,-14677123.308,6732334.986,0.880,-45230654.987,48.650
3,48.765,49.020,50.983,1.502,-9.455,-15.052,-4819211.814,-12542648.625,5523604.044,-0.753,-59967340.021,48.830
4,48.787,48.985,50.714,1.181,-11.827,-13.160,-2802240.476,-10038221.202,4987116.313,0.952,-53450397.164,50.870
5,49.481,49.328,50.734,6.489,-4.145,-8.408,8907657.563,-2335371.231,8404658.479,-0.011,-53632544.187,51.230
6,50.064,49.674,50.796,4.980,5.087,-5.723,7087710.175,-1283882.752,7785053.094,-0.863,-61899236.082,52.250
7,50.793,50.142,50.977,7.400,8.854,-3.633,8716490.557,1126650.715,8308677.872,0.592,-54945978.528,54.690
8,52.092,50.969,51.442,12.001,14.104,1.787,17373342.811,7228541.007,11605974.053,0.877,-42479637.435,54.120
9,52.768,51.542,51.776,6.389,12.143,-2.275,10276361.011,5201969.444,9665526.973,-0.528,-46109984.415,56.780
10,54.105,52.494,52.402,10.833,18.861,6.991,17670383.747,10157689.403,12514639.754,0.986,-34078829.408,56.780
11,54.997,53.274,52.949,8.670,16.352,16.472,11780255.831,8310836.784,10950309.785,0.696,-28241438.522,57.300
12,55.765,54.006,53.493,4.772,17.780,19.375,9634326.568,7771133.376,10249329.567,0.514,-22957678.922,57.800
13,56.443,54.695,54.031,6.800,18.370,20.593,7250939.878,6809866.672,9278684.183,0.479,-20578477.203,57.900
14,56.929,55.278,54.515,1.973,13.820,19.975,4990732.819,5657221.586,8177638.498,-0.143,-21250361.061,57.150
15,57.002,55.618,54.844,0.652,11.556,19.636,2349179.213,4095194.388,6788692.686,-0.278,-22338635.106,58.710
16,57.572,56.181,55.328,2.461,12.364,20.307,7055440.195,6344788.529,7998601.370,-0.195,-24396235.767,58.980
17,58.041,56.690,55.784,2.042,7.844,21.233,5021235.177,5364431.549,7117879.341,0.614,-22230170.953,60.250
18,58.777,57.337,56.342,4.059,11.327,23.387,7327442.788,6559963.633,7720626.675,0.852,-14224558.355,58.690
19,58.748,57.583,56.636,2.695,3.364,15.373,1989147.899,3787708.085,5669618.105,-0.616,-17653427.756,59.420
20,58.972,57.917,56.984,1.209,4.650,15.987,2972341.309,3996984.457,5578256.858,0.049,-17322255.260,58.910
21,58.951,58.097,57.225,-0.119,2.810,12.746,1373989.373,2938857.374,4653135.439,-0.669,-19713845.861,59.110
22,59.004,58.282,57.460,-1.892,2.266,8.082,1176583.982,2546660.251,4169215.159,-0.496,-21651283.792,59.540
23,59.183,58.510,57.720,1.448,2.832,10.015,1305292.755,2367760.260,3843402.051,0.434,-20074173.792,62.820
24,60.395,59.294,58.358,5.722,9.921,10.638,11509590.210,7740564.780,7352749.935,0.762,-12659961.220,62.270
25,61.020,59.835,58.847,5.704,6.064,9.669,6648254.673,5774204.566,6049354.143,0.451,-10141458.275,62.300
26,61.447,60.283,59.278,5.397,5.629,8.726,4484758.762,4753034.088,5312905.743,-0.121,-10777149.242,62.770
27,61.888,60.735,59.715,5.425,4.183,8.599,4086023.151,4486764.605,5059861.516,-0.577,-14813833.281,62.620
28,62.132,61.078,60.078,-0.318,6.696,8.152,2467951.284,3531317.868,4331354.770,0.561,-11942362.466,63.660
29,62.641,61.547,60.526,2.232,7.136,11.391,3513797.096,3908439.841,4490621.514,0.917,-7001627.216,62.150
30,62.478,61.657,60.729,-0.241,5.500,5.859,-828904.489,1467940.295,2740005.367,-0.094,-7593137.085,60.790
31,61.915,61.499,60.736,-3.154,2.842,3.069,-3232740.939,-260851.366,1392452.966,-0.778,-12191412.974,59.330
32,61.053,61.105,60.561,-5.254,-0.353,-1.527,-5563167.086,-2072336.459,-59606.077,-0.229,-13798105.221,59.250
33,60.452,60.768,60.397,-6.927,-5.683,0.954,-3823806.084,-1758290.572,-95290.827,-0.796,-17231339.690,59.630
34,60.178,60.561,60.301,-4.055,-4.240,0.353,-2012921.076,-1146083.388,117726.644,-0.516,-19416533.497,59.450
35,59.935,60.359,60.195,-2.204,-4.575,0.917,-1604787.584,-1081071.972,4445.738,0.107,-18947175.997,59.900
36,59.924,60.275,60.158,0.961,-4.572,1.336,146702.361,-220934.841,460100.302,-0.842,-25778520.710,59.310
37,59.719,60.100,60.052,0.101,-5.286,-0.386,-1282810.030,-933825.744,-115141.587,0.446,-22645601.817,60.140
38,59.859,60.107,60.063,0.855,-5.529,-4.266,275669.144,-147197.884,323329.548,0.904,-18952075.010,59.530
39,59.750,60.002,59.996,0.135,-4.216,-4.400,-2068.051,-221805.985,213220.549,0.077,-18881767.010,59.360
40,59.620,59.885,59.917,-0.902,-2.352,-4.719,-225541.494,-303748.238,102506.933,0.558,-16676313.187,59.920
41,59.720,59.892,59.917,1.028,0.994,-4.540,977451.377,366649.100,512623.206,0.449,-13963644.942,61.730
42,60.390,60.226,60.144,2.644,4.186,-1.421,3582435.122,1898604.283,1547595.632,0.607,-11014338.621,62.350
43,61.043,60.612,60.419,4.737,4.561,-2.058,3400204.688,2105356.926,1733614.155,0.263,-9729043.858,62.820
44,61.636,61.014,60.720,5.829,5.669,1.078,2886611.865,2060642.252,1749340.664,0.768,-6691683.252,62.500
45,61.924,61.284,60.942,4.306,4.341,2.813,1520858.790,1465862.323,1379342.161,-0.752,-9536954.682,61.830
46,61.892,61.383,61.053,0.162,4.249,4.214,18251.467,656257.686,833553.993,-0.822,-13201190.846,61.270
47,61.685,61.363,61.080,-1.732,1.879,3.409,-679285.636,159781.772,470064.764,-0.447,-14858339.214,61.000
48,61.457,61.297,61.070,-2.897,2.469,2.298,-873013.810,-98445.852,253747.898,-0.145,-15536654.907,60.950
49,61.288,61.234,61.055,-2.480,2.679,2.523,-636635.107,-110342.552,201544.699,-0.070,-15765321.465,61.010
50,61.195,61.193,61.050,-1.326,1.819,1.853,-326882.345,-37076.055,212929.509,-0.650,-18935405.915,60.660
51,61.017,61.096,61.001,-0.996,-1.733,2.276,-672067.913,-278051.145,16008.439,-0.624,-21362608.256,60.520
52,60.851,60.991,60.941,-0.787,-2.935,0.632,-619850.335,-321208.242,-50419.513,-0.607,-23595671.682,63.000
53,61.567,61.357,61.198,3.363,0.287,5.829,5242391.563,2822079.685,2076742.346,0.974,-16930176.358,64.600
54,62.578,61.946,61.623,5.884,3.360,8.827,9555347.975,5614658.070,4089807.153,0.299,-13535947.474,65.180
55,63.446,62.534,62.068,7.451,5.418,8.778,7207589.004,5050551.341,3892590.141,0.773,-10189144.338,66.300
56,64.397,63.219,62.597,9.551,8.210,7.403,6883257.042,5265831.664,4185340.513,0.221,-8956272.976,66.450
57,65.081,63.806,63.079,5.476,8.934,6.576,4738676.378,4390137.734,3718362.330,-0.077,-9186793.514,66.600
58,65.588,64.314,63.519,3.096,9.270,6.017,3352113.936,3697201.610,3325940.670,0.216,-8351139.215,66.710
