Date,Open,High,Low,Close,Volume
12-Sep-13,102.69,103.06,102.43,102.98,1837857
11-Sep-13,103.00,103.19,102.14,102.94,2252855
10-Sep-13,102.50,102.97,101.92,102.73,2841682
9-Sep-13,100.87,102.02,100.52,102.01,2368632
6-Sep-13,101.84,102.12,99.89,99.89,2443068
5-Sep-13,100.80,101.55,100.12,101.49,3630798
4-Sep-13,99.13,100.96,98.84,100.90,3226678
3-Sep-13,99.09,100.34,99.05,99.18,4555945
30-Aug-13,97.25,98.50,97.24,97.89,2178043
29-Aug-13,97.02,98.25,96.28,97.25,2398429
28-Aug-13,97.55,97.91,96.65,97.12,1951532
27-Aug-13,98.03,98.09,97.30,97.51,2906804
26-Aug-13,97.07,99.65,97.07,97.65,3267442
23-Aug-13,96.76,96.81,95.75,96.22,2426940
22-Aug-13,95.25,96.50,94.00,96.25,2490583
21-Aug-13,95.56,96.37,94.68,94.81,2366127
20-Aug-13,95.34,96.17,94.77,95.88,2123543
19-Aug-13,95.07,96.20,94.92,95.28,2394220
16-Aug-13,97.55,97.56,94.90,94.99,3248407
15-Aug-13,96.15,98.17,95.99,98.05,3599901
14-Aug-13,97.21,97.86,96.89,97.02,2195470
13-Aug-13,96.30,97.67,96.03,97.10,2568204
12-Aug-13,95.61,96.07,94.56,95.68,2955130
9-Aug-13,97.12,97.88,95.74,96.25,2682559
8-Aug-13,95.51,97.82,95.25,97.34,3654607
7-Aug-13,95.08,95.52,94.87,95.00,4198103
6-Aug-13,96.62,96.79,94.71,95.02,5935148
5-Aug-13,97.68,97.72,96.90,97.25,2549128
2-Aug-13,97.50,98.10,97.19,97.46,3385196
1-Aug-13,99.53,100.19,97.32,97.37,4249011
31-Jul-13,100.94,100.98,98.75,98.78,3420453
30-Jul-13,100.25,100.85,99.76,100.43,4206414
29-Jul-13,100.28,101.87,100.06,101.56,3589593
26-Jul-13,100.60,100.86,99.96,100.51,3668983
25-Jul-13,100.39,101.92,100.00,100.71,3288236
24-Jul-13,102.64,102.85,101.58,101.74,3156499
23-Jul-13,104.14,104.80,103.50,103.90,1703229
22-Jul-13,104.00,104.47,103.80,103.93,1490682
19-Jul-13,103.00,104.18,102.64,104.16,2145862
18-Jul-13,103.03,103.30,102.31,103.03,1751235
17-Jul-13,102.00,103.44,101.76,102.94,2393995
16-Jul-13,103.37,103.50,101.40,101.58,2732239
15-Jul-13,103.21,103.71,102.36,103.27,2402706
12-Jul-13,103.17,103.44,102.19,102.95,2336933
11-Jul-13,102.59,103.54,102.28,103.34,2059246
10-Jul-13,101.26,102.09,100.90,101.49,2419933
9-Jul-13,99.87,101.69,99.62,101.40,4047250
8-Jul-13,98.88,99.37,98.68,99.19,2846346
5-Jul-13,98.50,99.04,98.23,98.71,1841955
3-Jul-13,97.54,98.38,97.25,97.89,1358732
2-Jul-13,96.53,98.49,96.50,98.42,4623514
1-Jul-13,99.20,99.61,96.75,96.97,4309862
28-Jun-13,98.54,99.41,97.89,98.80,3950039
27-Jun-13,101.17,101.17,98.59,98.75,3252876
26-Jun-13,101.65,102.27,99.23,100.84,4091140
25-Jun-13,102.72,103.00,101.24,101.40,2703194
24-Jun-13,101.57,102.60,100.49,101.70,2250449
21-Jun-13,104.40,104.50,102.32,103.19,3988005
20-Jun-13,104.85,105.41,103.20,103.45,3054594
19-Jun-13,105.62,106.33,105.13,105.89,3002511
18-Jun-13,105.00,105.81,104.15,105.63,1574613
17-Jun-13,106.68,106.80,104.13,104.82,2592055
14-Jun-13,105.89,106.47,105.13,105.63,2253816
13-Jun-13,103.39,105.45,102.59,105.44,2802843
12-Jun-13,105.12,105.76,103.42,103.46,2244853
11-Jun-13,104.91,105.20,103.56,104.51,3403348
10-Jun-13,105.00,106.77,104.61,106.25,5636640
7-Jun-13,99.82,101.95,99.53,101.65,4094911
6-Jun-13,99.13,99.94,97.05,98.72,3469479
5-Jun-13,101.65,101.75,98.43,98.91,4176634
4-Jun-13,102.32,102.63,101.07,102.11,3295991
3-Jun-13,100.42,102.17,100.06,102.08,4085028
31-May-13,104.51,104.53,100.64,100.64,5337316
30-May-13,104.68,105.52,104.64,104.97,1838668
29-May-13,105.57,105.86,103.34,105.42,3026223
28-May-13,105.36,105.81,104.61,105.55,3362732
24-May-13,104.50,105.04,103.84,104.83,1815287
23-May-13,103.38,105.87,103.31,104.99,2814512
22-May-13,106.47,106.53,103.50,104.04,3513800
21-May-13,108.41,108.41,106.53,106.59,2569018
20-May-13,108.43,108.78,108.04,108.31,2088947
17-May-13,108.04,109.12,107.85,108.38,3008753
16-May-13,108.76,109.00,107.56,107.67,1578763
15-May-13,107.60,109.33,107.46,109.22,1851958
14-May-13,107.06,107.97,106.41,107.65,2712654
13-May-13,107.77,108.01,106.68,106.83,1981725
10-May-13,107.60,108.34,107.42,108.12,1506786
9-May-13,108.35,108.63,107.12,107.46,1570362
8-May-13,107.69,108.32,106.82,108.29,2552146
7-May-13,107.17,108.06,106.61,107.86,1554771
6-May-13,107.17,107.70,106.62,107.19,1261686
3-May-13,106.84,107.73,106.28,107.28,1751840
2-May-13,104.88,106.21,104.18,106.11,1873416
1-May-13,106.54,106.67,104.63,104.70,1874710
30-Apr-13,106.50,106.99,105.61,106.82,2090912
29-Apr-13,105.07,106.68,104.78,106.50,1741634
26-Apr-13,105.75,106.29,104.57,104.68,1408982
25-Apr-13,104.73,106.47,104.50,105.93,2671785
24-Apr-13,104.16,104.92,103.51,104.17,1680269
23-Apr-13,103.62,104.00,102.07,103.75,2169137
22-Apr-13,103.37,103.83,102.48,103.45,1740749
19-Apr-13,102.57,103.72,102.42,103.22,2144932
18-Apr-13,104.03,104.09,101.53,102.12,2710097
17-Apr-13,104.48,104.69,103.65,103.79,2948131
16-Apr-13,104.21,105.49,103.81,105.36,2405063
15-Apr-13,104.79,104.79,102.75,103.10,4148836
12-Apr-13,106.99,107.25,104.70,105.45,2347531
11-Apr-13,105.67,107.18,105.32,107.10,2834827
10-Apr-13,105.05,105.88,105.00,105.65,1708148
9-Apr-13,105.35,106.30,104.98,105.26,2200782
8-Apr-13,104.84,105.58,104.76,105.20,2760138
5-Apr-13,104.60,105.25,104.37,105.10,4175534
4-Apr-13,104.86,107.24,104.37,105.74,3273148
3-Apr-13,105.63,106.44,103.54,104.51,5296986
2-Apr-13,106.00,106.27,103.22,104.00,3457809
1-Apr-13,105.50,106.61,105.31,105.79,2585095
28-Mar-13,105.30,105.82,104.51,105.63,2774666
27-Mar-13,103.07,105.79,102.90,105.12,4315523
26-Mar-13,100.51,103.96,100.24,103.79,3815991
25-Mar-13,101.28,101.47,98.92,99.40,2892609
22-Mar-13,101.42,101.67,100.94,101.32,1704600
21-Mar-13,102.92,102.92,100.99,101.05,1967725
20-Mar-13,102.95,103.61,102.69,103.12,1804908
19-Mar-13,102.66,103.00,101.08,102.30,1999169
18-Mar-13,103.41,103.54,102.42,102.64,1565598
15-Mar-13,103.64,104.96,103.48,104.24,3369117
14-Mar-13,103.70,104.29,103.70,104.10,1601928
13-Mar-13,103.59,104.58,103.30,103.64,1774246
12-Mar-13,103.79,103.92,103.08,103.38,1859021
11-Mar-13,103.13,104.30,102.73,104.22,1592242
8-Mar-13,103.00,103.49,102.39,103.35,1649235
7-Mar-13,102.35,103.38,102.35,102.91,1457999
6-Mar-13,103.19,103.40,101.58,102.29,1888479
5-Mar-13,102.00,103.49,101.99,102.77,2077439
4-Mar-13,101.41,101.66,100.42,101.62,1839249
1-Mar-13,100.50,102.00,99.99,101.66,1933405
28-Feb-13,100.61,101.59,100.18,101.03,2167599
27-Feb-13,99.20,100.72,99.04,100.40,2549478
26-Feb-13,98.60,99.48,98.08,99.20,2190904
25-Feb-13,100.19,100.53,98.01,98.09,2561412
22-Feb-13,98.95,99.99,98.23,99.98,2620518
21-Feb-13,98.50,99.72,97.90,98.71,3415630
20-Feb-13,102.07,102.21,98.16,98.66,6324661
19-Feb-13,102.45,103.22,101.81,101.89,2856194
15-Feb-13,101.51,103.52,101.50,103.51,3077435
14-Feb-13,102.21,102.29,101.45,102.00,1994635
13-Feb-13,102.00,102.86,101.89,102.81,1764645
12-Feb-13,101.82,102.02,101.00,101.77,1533121
11-Feb-13,101.81,102.26,100.89,102.12,2161590
8-Feb-13,100.80,101.57,100.10,101.15,3069506
7-Feb-13,101.30,101.50,99.52,100.57,2818397
6-Feb-13,101.40,102.04,101.23,101.71,2079141
5-Feb-13,101.96,102.49,101.77,102.02,1675165
4-Feb-13,101.54,101.85,100.83,101.34,2352146
1-Feb-13,102.32,103.24,101.91,102.27,2001151
31-Jan-13,101.49,102.98,101.00,101.35,2594126
30-Jan-13,102.70,103.61,102.45,102.73,1716769
29-Jan-13,102.74,103.34,102.14,102.90,2059968
28-Jan-13,103.70,103.70,102.56,102.85,2228557
25-Jan-13,103.96,104.09,103.00,103.45,2204297
24-Jan-13,102.99,104.19,102.72,103.62,2820309
23-Jan-13,102.03,103.50,101.99,103.08,2388516
22-Jan-13,102.05,102.84,101.87,102.41,2501165
18-Jan-13,101.57,102.47,101.07,102.47,2766383
17-Jan-13,102.29,102.29,101.28,101.32,2720525
16-Jan-13,101.39,102.29,101.39,101.90,3190428
15-Jan-13,100.13,101.68,99.98,101.44,2812370
14-Jan-13,100.37,100.99,99.98,100.59,2873311
11-Jan-13,99.53,100.62,99.00,100.08,3073349
10-Jan-13,100.05,100.06,98.57,99.47,3633015
9-Jan-13,97.97,99.88,97.74,99.58,4864988
8-Jan-13,99.34,99.99,98.04,98.50,7415693
7-Jan-13,95.65,96.11,95.00,95.94,2307177
4-Jan-13,95.56,96.69,95.18,96.11,2164237
3-Jan-13,96.07,96.71,95.04,95.34,2262565
2-Jan-13,95.55,96.38,95.23,96.15,3169533
31-Dec-12,92.95,94.76,92.77,94.65,2326729
28-Dec-12,93.38,94.09,93.00,93.08,1513158
27-Dec-12,94.21,94.38,92.74,93.99,2810232
26-Dec-12,93.00,94.43,92.70,94.10,2255449
24-Dec-12,90.94,93.14,90.90,92.80,1053008
21-Dec-12,91.71,92.86,91.69,92.55,3700374
20-Dec-12,91.55,92.57,90.95,92.54,2505476
19-Dec-12,92.00,92.50,91.67,91.68,2039800
18-Dec-12,90.95,92.73,90.72,92.10,2954739
17-Dec-12,89.64,90.76,89.45,90.67,1979435
14-Dec-12,89.15,90.00,88.98,89.13,1818977
13-Dec-12,90.01,90.61,89.08,89.50,1993315
12-Dec-12,91.18,91.48,89.50,89.75,2676872
11-Dec-12,90.56,91.21,90.29,91.07,2150172
10-Dec-12,90.69,91.00,90.30,90.55,1576896
7-Dec-12,90.38,91.14,90.07,90.69,2267165
6-Dec-12,89.63,90.01,88.97,89.97,1757620
5-Dec-12,89.32,90.25,88.90,89.60,1995225
4-Dec-12,89.03,89.73,88.56,89.20,2739424
3-Dec-12,91.98,92.49,89.02,89.43,2894955
30-Nov-12,92.10,92.29,91.14,91.59,2255409
29-Nov-12,91.83,93.00,91.47,92.08,2449141
28-Nov-12,90.04,91.46,89.11,91.31,2393280
27-Nov-12,91.33,91.98,90.75,90.81,2563994
26-Nov-12,90.46,91.31,89.87,91.19,2638703
23-Nov-12,89.50,90.72,89.36,90.58,1132968
21-Nov-12,89.18,89.92,88.47,89.39,2094197
20-Nov-12,88.25,89.35,88.06,89.23,2787213
19-Nov-12,86.56,88.50,86.44,88.33,3505511
16-Nov-12,84.98,85.77,84.36,85.23,3101546
15-Nov-12,83.78,85.43,82.70,84.66,3786007
14-Nov-12,84.99,85.42,83.61,83.84,3058855
13-Nov-12,85.29,86.46,84.32,85.19,3085545
12-Nov-12,86.76,87.54,85.50,85.60,1140544
9-Nov-12,86.02,87.14,86.00,86.43,1437213
8-Nov-12,87.16,88.02,86.07,86.33,1356947
7-Nov-12,88.22,88.59,86.51,87.35,2303594
6-Nov-12,88.14,89.95,87.69,88.95,2638071
5-Nov-12,85.94,88.28,85.63,88.05,3431806
2-Nov-12,87.56,87.60,85.68,85.87,2019326
1-Nov-12,86.11,87.39,86.00,86.85,2149896
31-Oct-12,87.38,87.86,85.54,86.07,2248652
26-Oct-12,86.49,87.09,86.02,86.60,1745121
25-Oct-12,86.96,87.36,85.93,86.49,1731049
24-Oct-12,87.38,87.95,86.08,86.49,2080888
23-Oct-12,87.78,87.80,86.37,86.93,2670258
22-Oct-12,88.35,88.97,87.86,88.87,1784440
19-Oct-12,89.37,89.98,88.15,88.69,3736483
18-Oct-12,89.51,90.72,88.53,89.98,2407438
17-Oct-12,90.22,90.82,88.50,89.63,4484211
16-Oct-12,89.37,90.79,89.31,90.48,2108309
15-Oct-12,89.03,89.79,88.80,89.18,2507109
12-Oct-12,88.61,89.00,88.06,88.57,2074984
11-Oct-12,89.77,90.00,88.28,88.49,3168996
10-Oct-12,90.68,90.99,88.91,89.30,3501820
9-Oct-12,91.44,92.20,90.48,90.51,2918121
8-Oct-12,90.75,92.06,90.62,91.65,2330512
5-Oct-12,91.05,92.18,90.78,91.16,3458217
4-Oct-12,89.06,91.27,88.83,90.64,3880511
3-Oct-12,88.91,89.80,87.57,88.59,7142621
2-Oct-12,90.19,91.22,89.51,90.94,3961303
1-Oct-12,91.71,91.85,90.25,90.39,3291770
28-Sep-12,91.21,91.59,90.27,91.02,2885756
27-Sep-12,90.73,91.78,90.22,91.36,3311760
26-Sep-12,90.27,91.00,89.29,89.49,2512474
25-Sep-12,91.40,91.66,90.45,90.45,2936097
24-Sep-12,90.58,91.43,90.40,91.04,2500130
21-Sep-12,91.60,91.95,90.61,90.92,3718453
20-Sep-12,90.79,91.43,89.72,91.06,3540740
19-Sep-12,90.51,91.75,90.15,91.16,4830894
18-Sep-12,89.08,89.12,88.31,89.06,2084790
17-Sep-12,88.57,89.62,87.77,89.08,3091093
14-Sep-12,90.04,90.12,88.42,88.97,3406145
13-Sep-12,88.06,90.00,88.06,89.90,2615329
12-Sep-12,89.40,89.93,87.92,87.99,4281955
11-Sep-12,89.41,89.82,88.83,89.50,1984940
10-Sep-12,89.65,89.99,89.22,89.42,1901228
7-Sep-12,89.50,89.90,88.88,89.39,2371228
6-Sep-12,88.10,89.69,87.61,89.44,2949993
5-Sep-12,86.37,87.89,86.35,87.55,2309618
4-Sep-12,86.94,87.43,86.07,86.62,2236615
31-Aug-12,87.61,87.92,86.67,87.11,1876010
30-Aug-12,87.38,87.63,86.84,87.17,2258133
29-Aug-12,87.20,88.01,86.46,87.73,2438316
28-Aug-12,85.80,87.27,85.58,86.97,3202293
27-Aug-12,85.68,86.78,85.36,86.13,2383881
24-Aug-12,85.55,85.59,84.86,85.34,2491570
23-Aug-12,87.53,87.72,85.58,85.83,2599260
22-Aug-12,87.50,88.06,86.28,88.06,2887239
21-Aug-12,87.60,88.84,87.11,87.69,2555252
20-Aug-12,88.10,88.17,86.75,87.47,2077653
17-Aug-12,88.65,88.65,87.62,87.87,2537776
16-Aug-12,86.87,88.96,86.61,88.32,3211576
15-Aug-12,86.20,87.30,86.20,86.64,2984647
14-Aug-12,87.36,87.50,85.99,86.20,2385060
13-Aug-12,86.39,87.54,86.24,86.90,2939772
10-Aug-12,88.30,88.69,86.35,86.74,4904288
9-Aug-12,88.48,89.45,88.25,88.62,3627960
8-Aug-12,88.63,88.95,87.81,88.00,2262526
7-Aug-12,88.35,89.73,88.34,88.61,2385069
6-Aug-12,87.60,89.30,87.21,88.46,2871620
3-Aug-12,88.16,88.37,86.87,87.04,3138965
2-Aug-12,85.98,87.97,85.70,87.38,3580078
1-Aug-12,86.28,87.47,86.26,86.41,2691392
31-Jul-12,86.75,87.00,85.38,85.62,3539841
30-Jul-12,87.04,87.55,85.90,86.90,2847020
27-Jul-12,86.12,87.12,86.03,86.88,2532130
26-Jul-12,85.90,86.58,85.16,85.60,2560229
25-Jul-12,85.75,86.11,84.20,84.80,2019787
24-Jul-12,85.52,85.81,84.52,85.06,3270500
23-Jul-12,85.97,86.13,84.09,85.40,3943872
20-Jul-12,86.38,87.77,86.29,87.52,3432465
19-Jul-12,86.46,86.93,86.00,86.78,3260106
18-Jul-12,86.41,86.63,85.60,86.52,2989824
17-Jul-12,85.84,86.93,85.63,86.50,3460670
16-Jul-12,84.02,86.16,83.70,85.50,4842592
13-Jul-12,82.61,84.25,82.37,83.86,2710383
12-Jul-12,82.30,83.50,81.72,82.66,3200048
11-Jul-12,82.80,83.48,81.73,82.77,3888886
10-Jul-12,82.96,83.49,81.49,81.88,2459871
9-Jul-12,82.12,83.16,81.77,82.74,3224959
6-Jul-12,82.16,82.30,81.50,82.09,1679553
5-Jul-12,82.01,83.60,82.01,83.04,1919892
3-Jul-12,83.33,84.02,83.01,83.58,1912397
2-Jul-12,82.98,83.87,82.41,83.48,4556524
29-Jun-12,81.50,82.80,81.05,82.78,4148883
28-Jun-12,80.30,80.67,79.21,80.25,3980815
27-Jun-12,78.85,81.41,78.75,80.89,5742620
26-Jun-12,78.30,79.09,76.89,77.87,4261745
25-Jun-12,77.86,78.65,77.24,77.88,3501778
22-Jun-12,78.12,78.73,77.07,78.45,2036662
21-Jun-12,79.74,79.79,77.67,77.78,2309198
20-Jun-12,79.74,80.53,79.18,79.69,2810819
19-Jun-12,79.70,81.19,79.70,80.45,2776751
18-Jun-12,78.88,79.99,78.72,79.67,2103349
15-Jun-12,79.17,79.52,78.53,78.70,3169152
14-Jun-12,77.79,78.89,77.59,78.69,2564946
13-Jun-12,79.08,79.44,77.47,77.78,3206902
12-Jun-12,78.75,79.78,78.37,79.70,2464174
11-Jun-12,79.80,80.10,78.39,78.56,2232033
8-Jun-12,78.57,79.40,77.85,79.40,2140410
7-Jun-12,79.85,80.32,78.45,78.61,3527365
6-Jun-12,77.60,79.21,77.54,79.20,3409853
5-Jun-12,75.58,77.40,75.58,76.86,2421301
4-Jun-12,76.05,76.95,74.77,76.06,3936768
1-Jun-12,75.35,76.45,75.04,76.17,4158791
31-May-12,76.89,77.81,75.40,77.20,4666064
30-May-12,76.11,77.35,75.84,76.41,9273842
29-May-12,73.75,75.01,73.65,74.75,3447732
25-May-12,73.78,74.09,73.17,73.56,3277742
24-May-12,72.52,73.99,72.48,73.94,3743585
23-May-12,70.43,72.10,69.87,71.82,2105666
22-May-12,72.05,72.62,70.81,71.30,2997244
21-May-12,70.15,72.20,70.04,72.10,2367746
18-May-12,70.35,71.36,69.70,69.89,3207875
17-May-12,71.56,71.64,70.02,70.14,2970299
16-May-12,72.24,72.37,71.13,71.42,3948753
15-May-12,71.58,73.05,71.51,72.08,4391807
14-May-12,71.66,71.97,70.66,71.50,3172299
11-May-12,71.26,72.68,71.08,72.45,4819582
10-May-12,72.80,72.82,71.41,71.71,4100203
9-May-12,72.89,73.25,71.66,71.90,3956154
8-May-12,72.64,74.18,72.44,74.00,4825074
7-May-12,73.38,73.43,72.71,72.83,2485275
4-May-12,74.67,74.87,73.35,73.60,2853847
3-May-12,75.78,76.37,75.05,75.16,2837754
2-May-12,76.14,76.25,75.51,75.63,2458204
1-May-12,76.07,76.93,75.92,76.33,2215444
30-Apr-12,77.58,78.00,75.90,76.18,2849079
27-Apr-12,77.29,78.26,77.01,77.84,2566128
26-Apr-12,76.73,77.15,76.43,76.93,1790468
25-Apr-12,76.49,77.69,76.49,77.51,2571272
24-Apr-12,75.75,76.15,74.98,75.57,2251198
23-Apr-12,76.40,76.40,75.15,75.74,1934167
20-Apr-12,76.95,77.97,76.81,77.16,2115987
19-Apr-12,76.83,77.44,76.16,76.79,1811654
18-Apr-12,77.02,77.23,76.35,76.76,2558064
17-Apr-12,77.30,78.13,76.71,77.60,1926636
16-Apr-12,77.51,77.91,76.52,76.87,2673552
13-Apr-12,78.23,78.95,76.99,77.07,2365982
12-Apr-12,76.06,78.74,76.06,78.34,4709076
11-Apr-12,75.61,76.41,74.51,76.12,4971461
10-Apr-12,75.84,76.24,74.15,74.42,5286326
9-Apr-12,77.51,77.94,76.49,76.59,4307591
5-Apr-12,80.49,81.78,78.56,79.02,5258081
4-Apr-12,82.48,83.27,79.90,80.58,8727847
3-Apr-12,81.32,81.99,80.73,81.80,4493393
2-Apr-12,80.10,82.10,80.00,81.48,5359281
30-Mar-12,79.56,80.39,79.44,79.76,3071510
29-Mar-12,78.38,79.16,77.99,78.91,2455970
28-Mar-12,79.75,80.00,78.06,79.15,3043820
27-Mar-12,80.28,80.38,79.40,79.82,3146891
26-Mar-12,79.08,80.12,78.70,80.05,3949996
23-Mar-12,78.36,78.73,77.02,78.44,2420086
22-Mar-12,78.26,79.23,78.06,78.37,2138549
21-Mar-12,79.11,79.36,78.32,79.16,1868812
20-Mar-12,79.90,80.00,78.92,79.09,2914518
19-Mar-12,79.01,80.39,78.41,79.97,3372954
16-Mar-12,78.78,80.12,78.68,78.81,5279477
15-Mar-12,78.59,79.53,78.59,79.30,3104924
14-Mar-12,78.88,79.53,78.13,78.49,4224950
13-Mar-12,79.53,79.70,78.71,79.33,3298889
12-Mar-12,79.45,79.74,78.78,78.84,1506122
9-Mar-12,79.81,80.15,78.97,79.29,1783119
8-Mar-12,78.46,80.02,78.46,79.75,2605257
7-Mar-12,78.49,78.51,77.23,77.66,3148042
6-Mar-12,78.83,78.91,77.34,77.62,4155105
5-Mar-12,80.45,80.50,78.68,80.00,3720399
2-Mar-12,80.29,82.14,79.64,80.73,4071813
1-Mar-12,77.82,80.80,77.62,80.15,4581767
29-Feb-12,79.27,79.37,77.17,77.38,4039238
28-Feb-12,79.05,79.56,78.50,79.01,2510112
27-Feb-12,79.04,79.86,78.59,78.84,2574717
24-Feb-12,77.80,79.64,77.58,79.52,2669081
23-Feb-12,79.11,79.62,77.14,77.78,4946693
22-Feb-12,78.93,80.07,78.69,79.75,2672290
21-Feb-12,79.90,79.90,78.93,79.38,2261598
17-Feb-12,79.36,79.53,78.56,79.34,2308819
16-Feb-12,77.42,79.34,77.03,79.01,3101304
15-Feb-12,77.04,78.25,76.94,77.80,2411960
14-Feb-12,77.91,78.17,76.33,76.94,2512766
13-Feb-12,77.96,78.40,77.57,77.93,1750163
10-Feb-12,77.46,77.95,76.99,77.34,2574470
9-Feb-12,79.24,79.34,77.26,78.33,4325393
